date,average,trend,averageUnc,trendUnc,year,month
1984.11,1653.79,1649.98,0.96,0.58,1984,11
1984.12,1656.19,1651.07,1.06,0.58,1984,12
1985.1,1655.6,1652.15,0.96,0.58,1985,1
1985.2,1652.24,1653.16,1.36,0.58,1985,2
1985.3,1654.6,1654.16,1.0,0.58,1985,3
1985.4,1658.2,1655.18,0.83,0.59,1985,4
1985.5,1655.88,1656.18,1.21,0.59,1985,5
1985.6,1650.05,1657.18,1.22,0.59,1985,6
1985.7,1646.81,1658.18,1.17,0.6,1985,7
1985.8,1652.24,1659.2,1.06,0.61,1985,8
1985.9,1662.49,1660.21,0.98,0.61,1985,9
1985.10,1667.52,1661.23,1.16,0.62,1985,10
1985.11,1666.8,1662.25,1.32,0.64,1985,11
1985.12,1666.03,1663.28,1.17,0.65,1985,12
1986.1,1666.29,1664.34,1.18,0.67,1986,1
1986.2,1666.92,1665.36,1.72,0.69,1986,2
1986.3,1669.26,1666.38,1.32,0.7,1986,3
1986.4,1670.81,1667.45,1.37,0.72,1986,4
1986.5,1668.44,1668.52,0.96,0.75,1986,5
1986.6,1664.77,1669.59,1.14,0.77,1986,6
1986.7,1662.34,1670.68,1.13,0.78,1986,7
1986.8,1664.37,1671.78,1.53,0.8,1986,8
1986.9,1672.58,1672.87,1.36,0.81,1986,9
1986.10,1678.69,1673.96,1.61,0.81,1986,10
1986.11,1678.97,1675.06,1.88,0.8,1986,11
1986.12,1679.1,1676.15,1.15,0.79,1986,12
1987.1,1679.39,1677.25,1.16,0.76,1987,1
1987.2,1679.03,1678.29,1.06,0.73,1987,2
1987.3,1680.06,1679.32,0.87,0.7,1987,3
1987.4,1681.38,1680.36,0.82,0.66,1987,4
1987.5,1681.84,1681.38,1.08,0.62,1987,5
1987.6,1679.99,1682.38,1.11,0.57,1987,6
1987.7,1675.97,1683.34,0.83,0.53,1987,7
1987.8,1677.14,1684.28,0.82,0.49,1987,8
1987.9,1685.59,1685.18,0.91,0.46,1987,9
1987.10,1691.59,1686.05,1.01,0.44,1987,10
1987.11,1691.16,1686.9,0.85,0.43,1987,11
1987.12,1690.48,1687.72,0.84,0.43,1987,12
1988.1,1692.1,1688.56,0.93,0.46,1988,1
1988.2,1692.69,1689.33,0.89,0.48,1988,2
1988.3,1691.43,1690.11,1.06,0.51,1988,3
1988.4,1690.12,1690.94,1.06,0.54,1988,4
1988.5,1689.08,1691.77,0.98,0.58,1988,5
1988.6,1687.06,1692.62,1.22,0.61,1988,6
1988.7,1685.79,1693.5,0.95,0.63,1988,7
1988.8,1689.11,1694.42,1.11,0.65,1988,8
1988.9,1695.88,1695.35,1.2,0.66,1988,9
1988.10,1701.09,1696.31,1.26,0.66,1988,10
1988.11,1702.88,1697.3,1.34,0.66,1988,11
1988.12,1701.99,1698.3,1.14,0.65,1988,12
1989.1,1700.58,1699.33,1.0,0.64,1989,1
1989.2,1701.06,1700.32,1.17,0.63,1989,2
1989.3,1702.46,1701.31,1.26,0.62,1989,3
1989.4,1703.6,1702.33,1.03,0.6,1989,4
1989.5,1703.37,1703.34,0.51,0.59,1989,5
1989.6,1700.2,1704.32,0.95,0.57,1989,6
1989.7,1698.21,1705.28,0.98,0.56,1989,7
1989.8,1701.97,1706.23,1.02,0.55,1989,8
1989.9,1707.18,1707.13,0.94,0.55,1989,9
1989.10,1710.53,1708.0,0.9,0.55,1989,10
1989.11,1713.11,1708.83,0.89,0.56,1989,11
