date,average,trend,averageUnc,trendUnc,year,month
2002.5,316.85,316.88,0.14,0.13,2002,5
2002.6,316.83,316.92,0.14,0.13,2002,6
2002.7,316.82,316.95,0.14,0.14,2002,7
2002.8,316.82,316.99,0.14,0.14,2002,8
2002.9,316.87,317.03,0.14,0.14,2002,9
2002.10,316.99,317.08,0.15,0.15,2002,10
2002.11,317.13,317.13,0.16,0.15,2002,11
2002.12,317.24,317.18,0.16,0.15,2002,12
2003.1,317.29,317.24,0.16,0.15,2003,1
2003.2,317.34,317.3,0.16,0.15,2003,2
2003.3,317.4,317.37,0.16,0.15,2003,3
2003.4,317.47,317.43,0.16,0.15,2003,4
2003.5,317.51,317.51,0.15,0.15,2003,5
2003.6,317.53,317.58,0.15,0.14,2003,6
2003.7,317.57,317.65,0.15,0.14,2003,7
2003.8,317.63,317.72,0.15,0.14,2003,8
2003.9,317.76,317.79,0.15,0.14,2003,9
2003.10,317.93,317.86,0.15,0.13,2003,10
2003.11,318.04,317.92,0.15,0.13,2003,11
2003.12,318.11,317.98,0.15,0.13,2003,12
2004.1,318.18,318.04,0.14,0.13,2004,1
2004.2,318.2,318.09,0.15,0.13,2004,2
2004.3,318.17,318.14,0.15,0.13,2004,3
2004.4,318.14,318.18,0.15,0.13,2004,4
2004.5,318.14,318.23,0.15,0.13,2004,5
2004.6,318.13,318.27,0.15,0.13,2004,6
2004.7,318.14,318.31,0.14,0.14,2004,7
2004.8,318.17,318.35,0.14,0.14,2004,8
2004.9,318.23,318.39,0.15,0.14,2004,9
2004.10,318.34,318.43,0.15,0.14,2004,10
2004.11,318.56,318.47,0.15,0.14,2004,11
2004.12,318.77,318.52,0.15,0.13,2004,12
2005.1,318.87,318.57,0.15,0.13,2005,1
2005.2,318.89,318.62,0.15,0.13,2005,2
2005.3,318.87,318.67,0.15,0.13,2005,3
2005.4,318.79,318.74,0.14,0.13,2005,4
2005.5,318.66,318.8,0.14,0.13,2005,5
2005.6,318.59,318.87,0.14,0.13,2005,6
2005.7,318.65,318.95,0.14,0.13,2005,7
2005.8,318.77,319.03,0.14,0.13,2005,8
2005.9,318.9,319.11,0.14,0.13,2005,9
2005.10,319.1,319.2,0.14,0.12,2005,10
2005.11,319.36,319.28,0.13,0.12,2005,11
2005.12,319.58,319.36,0.13,0.12,2005,12
2006.1,319.73,319.44,0.13,0.12,2006,1
2006.2,319.8,319.52,0.13,0.12,2006,2
2006.3,319.77,319.59,0.13,0.12,2006,3
2006.4,319.7,319.66,0.13,0.12,2006,4
2006.5,319.68,319.73,0.14,0.12,2006,5
2006.6,319.66,319.79,0.14,0.12,2006,6
2006.7,319.63,319.84,0.14,0.12,2006,7
2006.8,319.67,319.89,0.13,0.12,2006,8
2006.9,319.82,319.94,0.13,0.12,2006,9
2006.10,320.0,319.98,0.13,0.13,2006,10
2006.11,320.16,320.02,0.14,0.13,2006,11
2006.12,320.26,320.07,0.14,0.13,2006,12
2007.1,320.35,320.11,0.14,0.13,2007,1
2007.2,320.38,320.16,0.14,0.14,2007,2
2007.3,320.28,320.21,0.14,0.14,2007,3
2007.4,320.18,320.27,0.14,0.14,2007,4
2007.5,320.22,320.33,0.15,0.14,2007,5
2007.6,320.25,320.4,0.15,0.14,2007,6
2007.7,320.18,320.48,0.15,0.14,2007,7
2007.8,320.22,320.56,0.15,0.14,2007,8
2007.9,320.45,320.65,0.14,0.14,2007,9
2007.10,320.73,320.75,0.14,0.14,2007,10
2007.11,320.95,320.84,0.14,0.13,2007,11
2007.12,321.15,320.94,0.15,0.13,2007,12
2008.1,321.33,321.04,0.15,0.14,2008,1
2008.2,321.39,321.14,0.15,0.14,2008,2
2008.3,321.39,321.23,0.15,0.14,2008,3
2008.4,321.39,321.32,0.15,0.14,2008,4
2008.5,321.43,321.41,0.16,0.14,2008,5
2008.6,321.45,321.49,0.16,0.15,2008,6
2008.7,321.42,321.57,0.16,0.15,2008,7
2008.8,321.39,321.64,0.16,0.15,2008,8
2008.9,321.48,321.71,0.16,0.15,2008,9
2008.10,321.65,321.77,0.16,0.15,2008,10
2008.11,321.8,321.83,0.16,0.15,2008,11
2008.12,321.97,321.88,0.16,0.15,2008,12
2009.1,322.21,321.94,0.16,0.14,2009,1
2009.2,322.35,321.99,0.15,0.14,2009,2
2009.3,322.27,322.04,0.14,0.13,2009,3
2009.4,322.1,322.09,0.14,0.13,2009,4
2009.5,321.98,322.15,0.14,0.13,2009,5
2009.6,321.95,322.21,0.14,0.12,2009,6
2009.7,322.02,322.27,0.14,0.12,2009,7
2009.8,322.14,322.33,0.14,0.12,2009,8
2009.9,322.3,322.4,0.14,0.12,2009,9
2009.10,322.51,322.47,0.14,0.12,2009,10
2009.11,322.7,322.55,0.13,0.12,2009,11
2009.12,322.84,322.63,0.13,0.12,2009,12
2010.1,322.91,322.71,0.14,0.12,2010,1
2010.2,322.93,322.8,0.14,0.12,2010,2
2010.3,322.94,322.88,0.14,0.12,2010,3
2010.4,322.97,322.97,0.14,0.13,2010,4
2010.5,323.01,323.06,0.14,0.13,2010,5
2010.6,323.01,323.15,0.14,0.13,2010,6
2010.7,323.03,323.25,0.14,0.13,2010,7
2010.8,323.1,323.34,0.14,0.13,2010,8
2010.9,323.26,323.43,0.14,0.13,2010,9
2010.10,323.51,323.53,0.14,0.13,2010,10
2010.11,323.76,323.62,0.15,0.14,2010,11
2010.12,323.94,323.71,0.15,0.14,2010,12
2011.1,324.04,323.8,0.15,0.14,2011,1
2011.2,324.08,323.88,0.15,0.14,2011,2
2011.3,324.08,323.96,0.14,0.14,2011,3
2011.4,324.06,324.04,0.14,0.14,2011,4
2011.5,324.05,324.12,0.14,0.14,2011,5
2011.6,324.05,324.2,0.14,0.13,2011,6
2011.7,324.06,324.27,0.14,0.13,2011,7
2011.8,324.1,324.35,0.14,0.13,2011,8
2011.9,324.24,324.42,0.14,0.13,2011,9
2011.10,324.45,324.49,0.14,0.13,2011,10
2011.11,324.63,324.55,0.14,0.13,2011,11
2011.12,324.77,324.62,0.14,0.13,2011,12
2012.1,324.9,324.69,0.14,0.13,2012,1
2012.2,324.97,324.75,0.14,0.13,2012,2
2012.3,324.96,324.81,0.14,0.13,2012,3
2012.4,324.92,324.88,0.13,0.13,2012,4
2012.5,324.9,324.94,0.13,0.13,2012,5
2012.6,324.86,325.01,0.14,0.13,2012,6
2012.7,324.87,325.08,0.14,0.13,2012,7
2012.8,324.97,325.15,0.14,0.13,2012,8
2012.9,325.12,325.21,0.14,0.13,2012,9
2012.10,325.28,325.28,0.14,0.13,2012,10
2012.11,325.43,325.35,0.14,0.13,2012,11
2012.12,325.53,325.43,0.14,0.13,2012,12
2013.1,325.58,325.5,0.14,0.13,2013,1
2013.2,325.62,325.57,0.14,0.13,2013,2
2013.3,325.68,325.65,0.13,0.13,2013,3
2013.4,325.74,325.72,0.13,0.13,2013,4
