time,station,land,year,month
1880.04,-0.25,-0.18,1880,1
1880.13,-0.44,-0.24,1880,2
1880.21,-0.31,-0.09,1880,3
1880.29,-0.51,-0.16,1880,4
1880.38,-0.23,-0.1,1880,5
1880.46,-0.39,-0.22,1880,6
1880.54,-0.32,-0.18,1880,7
1880.63,0.25,-0.1,1880,8
1880.71,-0.36,-0.14,1880,9
1880.79,-0.6,-0.23,1880,10
1880.88,-0.27,-0.22,1880,11
1880.96,-0.28,-0.18,1880,12
1881.04,-0.63,-0.19,1881,1
1881.13,-0.21,-0.14,1881,2
1881.21,-0.11,0.03,1881,3
1881.29,-0.06,0.05,1881,4
1881.38,0.19,0.06,1881,5
1881.46,-0.89,-0.19,1881,6
1881.54,-0.24,0.0,1881,7
1881.63,-0.23,-0.04,1881,8
1881.71,-0.19,-0.16,1881,9
1881.79,-0.34,-0.22,1881,10
1881.88,-0.39,-0.19,1881,11
1881.96,0.14,-0.07,1881,12
1882.04,0.16,0.16,1882,1
1882.13,-0.15,0.14,1882,2
1882.21,-0.02,0.04,1882,3
1882.29,-0.52,-0.17,1882,4
1882.38,-0.61,-0.15,1882,5
1882.46,-0.9,-0.23,1882,6
1882.54,-0.55,-0.17,1882,7
1882.63,-0.25,-0.07,1882,8
1882.71,-0.15,-0.14,1882,9
1882.79,-0.21,-0.24,1882,10
1882.88,-0.5,-0.17,1882,11
1882.96,-0.79,-0.36,1882,12
1883.04,-0.54,-0.29,1883,1
1883.13,-0.73,-0.37,1883,2
1883.21,-0.47,-0.13,1883,3
1883.29,-0.38,-0.19,1883,4
1883.38,-0.41,-0.19,1883,5
1883.46,0.31,-0.08,1883,6
1883.54,-0.21,-0.08,1883,7
1883.63,-0.1,-0.15,1883,8
1883.71,-0.42,-0.22,1883,9
1883.79,-0.34,-0.12,1883,10
1883.88,-0.63,-0.25,1883,11
1883.96,-0.37,-0.12,1883,12
1884.04,-0.66,-0.13,1884,1
1884.13,-0.41,-0.09,1884,2
1884.21,-0.37,-0.37,1884,3
1884.29,-0.66,-0.4,1884,4
1884.38,-0.94,-0.34,1884,5
1884.46,-0.43,-0.36,1884,6
1884.54,-0.42,-0.31,1884,7
1884.63,0.12,-0.29,1884,8
1884.71,-0.31,-0.28,1884,9
1884.79,-0.58,-0.25,1884,10
1884.88,-0.7,-0.34,1884,11
1884.96,-0.8,-0.31,1884,12
1885.04,-0.91,-0.58,1885,1
1885.13,-0.67,-0.34,1885,2
1885.21,-0.73,-0.27,1885,3
1885.29,-0.9,-0.42,1885,4
1885.38,-0.67,-0.45,1885,5
1885.46,-0.74,-0.44,1885,6
1885.54,-0.59,-0.35,1885,7
1885.63,-0.32,-0.32,1885,8
1885.71,-0.31,-0.29,1885,9
1885.79,-0.35,-0.24,1885,10
1885.88,-0.32,-0.25,1885,11
1885.96,-0.12,-0.11,1885,12
1886.04,-0.58,-0.45,1886,1
1886.13,-0.6,-0.51,1886,2
1886.21,-0.41,-0.43,1886,3
1886.29,-0.31,-0.28,1886,4
1886.38,-0.32,-0.25,1886,5
1886.46,-0.45,-0.35,1886,6
1886.54,-0.11,-0.18,1886,7
1886.63,-0.31,-0.31,1886,8
1886.71,-0.08,-0.24,1886,9
1886.79,-0.6,-0.28,1886,10
1886.88,-0.21,-0.28,1886,11
1886.96,-0.32,-0.26,1886,12
1887.04,-0.64,-0.72,1887,1
1887.13,-0.97,-0.57,1887,2
1887.21,-0.47,-0.36,1887,3
1887.29,-0.53,-0.35,1887,4
1887.38,-0.69,-0.31,1887,5
1887.46,-0.62,-0.25,1887,6
1887.54,-0.64,-0.26,1887,7
1887.63,-0.56,-0.36,1887,8
1887.71,-0.71,-0.26,1887,9
1887.79,-0.53,-0.36,1887,10
1887.88,-0.7,-0.27,1887,11
1887.96,-0.61,-0.33,1887,12
1888.04,-0.56,-0.35,1888,1
1888.13,-0.78,-0.37,1888,2
1888.21,-0.72,-0.42,1888,3
1888.29,-0.26,-0.2,1888,4
1888.38,-0.68,-0.22,1888,5
1888.46,-0.4,-0.18,1888,6
1888.54,-0.27,-0.11,1888,7
1888.63,-0.27,-0.17,1888,8
1888.71,-0.31,-0.12,1888,9
1888.79,-0.06,0.01,1888,10
1888.88,-0.04,0.02,1888,11
1888.96,-0.2,-0.05,1888,12
1889.04,-0.3,-0.1,1889,1
1889.13,0.07,0.16,1889,2
1889.21,0.09,0.05,1889,3
1889.29,0.23,0.09,1889,4
1889.38,0.12,-0.02,1889,5
1889.46,-0.15,-0.11,1889,6
1889.54,-0.22,-0.08,1889,7
1889.63,-0.43,-0.21,1889,8
1889.71,-0.33,-0.24,1889,9
1889.79,-0.25,-0.26,1889,10
1889.88,-0.45,-0.34,1889,11
1889.96,-0.38,-0.3,1889,12
1890.04,-0.53,-0.43,1890,1
1890.13,-0.47,-0.45,1890,2
1890.21,-0.45,-0.41,1890,3
1890.29,-0.14,-0.3,1890,4
1890.38,-0.65,-0.4,1890,5
1890.46,-0.42,-0.25,1890,6
1890.54,-0.57,-0.29,1890,7
1890.63,-0.58,-0.4,1890,8
